Report generated on: 07-31-2024 18:27:31
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"","World","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.59-1-AFG-TBPD.A","                Other liquids (Mb/d)","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.56-1-AFG-TBPD.A","            Refinery processing gain (Mb/d)","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.54-1-AFG-TBPD.A","        Refined petroleum products (Mb/d)","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"INTL.62-1-AFG-TBPD.A","            Motor gasoline (Mb/d)","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"INTL.63-1-AFG-TBPD.A","            Jet fuel (Mb/d)","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"INTL.64-1-AFG-TBPD.A","            Kerosene (Mb/d)","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"INTL.65-1-AFG-TBPD.A","            Distillate fuel oil (Mb/d)","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"INTL.66-1-AFG-TBPD.A","            Residual fuel oil (Mb/d)","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"INTL.67-1-AFG-TBPD.A","            Liquefied Petroleum Gases (Mb/d)","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"INTL.68-1-AFG-TBPD.A","            Other petroleum liquids (Mb/d)","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"INTL.5-2-AFG-TBPD.A","    Consumption (Mb/d)","6.999999999","8.000000001","7.799999998","11.000000001","11.000000001","13.000000001","13.59753","13.86794","13.18628","13.37298","13.57298","12.75473","7.13639","7.13649","6.63649","6.43649","5.92087","5.60002","5.40002","5.400027397260274","3.8812459016393435","3.860493150684933","3.270939726027391","4.705284931506853","4.331092896174859","6.529397260273979","8.322821917808216","9.100410958904114","20.81557377049185","36.25320547945199","42.76090410958903","55.81753424657529","49.05868852459019","35.082679452054734","27.677745205479425","34.914945136986304","25.590860712328766","23.631189041083562","30.604660273972","24.276243835616","23.007042672131156","25.849105181500157","27.099189977767725","",""
